First Name,Last Name,Mailing Address,Mailing City,Mailing State,Mailing Zip Code,Property Address,Property City,Property State,Property Zip Code
,,,,,, 6802 Utsa Blvd,,,
,,,,,,3142 W Laurel St              ,,,
,,,,,,1014 S Brownleaf Dr           ,,,
,,,,,,12101 Dewitt Ave              ,,,
,,,,,,409 Frio City Rd              ,,,
,,,,,,1242 Avant Ave                ,,,
,,,,,,136 Chevy Chase Dr            ,,,
,,,,,,10814 Hillsdale Loop          ,,,
,,,,,,134 Topeka Blvd               ,,,
,,,,,,3130 CULEBRA RD               ,,,
,,,,,,1710 Donerail                 ,,,
,,,,,,3012 Morning Trl              ,,,
,,,,,,12326 Abbey Park              ,,,
,,,,,,615 Augusta                   ,,,
,,,,,,269 Utopia Ln                 ,,,
,,,,,,15038 Stonetower Dr           ,,,
,,,,,,6802 Utsa Blvd                ,,,
,,,,,,4318 Moana Dr                 ,,,
,,,,,,5435 Hillburn Dr              ,,,
,,,,,,523 GILBERT LN                ,,,
,,,,,,1508 W Ridgewood Ct           ,,,
,,,,,,5334 Gwenda Lea               ,,,
,,,,,,3316 Oakwell Ct               ,,,
,,,,,,610 EMMETT AVE                ,,,
,,,,,,1706 San Rafael St            ,,,
,,,,,,235 Carle Ave                 ,,,
,,,,,,9723 Quiet Lake               ,,,
,,,,,,155 ROSLYN AVE                ,,,
,,,,,,8643 Quail Whisper            ,,,
,,,,,,9707 Lockberry Ln             ,,,
,,,,,,1938 W Magnolia Ave           ,,,
,,,,,,1257 SALTILLO ST              ,,,
,,,,,,321 Hammond Ave               ,,,
,,,,,,1082 Rayburn Dr               ,,,
,,,,,,15877 Redwoods Manor          ,,,
,,,,,,7005 SNOW FLAKE DR            ,,,
,,,,,,516 Barrett Ave               ,,,
,,,,,,3542 Eagle Crk                ,,,
,,,,,,1202 Marseilles Dr            ,,,
,,,,,,228 Rex St                    ,,,
,,,,,,23826 Stately Oaks            ,,,
,,,,,,304 E HART AVE                ,,,
,,,,,,4538 Darien Vista             ,,,
,,,,,,806 Harriman Place            ,,,
,,,,,,7402 Robin Rest Dr            ,,,
,,,,,,1915 Fort Donelson            ,,,
,,,,,,12023 Rose Blossom            ,,,
,,,,,,5934 Oak Blossom              ,,,
,,,,,,13802 Chittim Oak Dr          ,,,
,,,,,,2719 Sierra Salinas           ,,,
,,,,,,5003 Casa Oro                 ,,,
,,,,,,119 Nancy Place               ,,,
,,,,,,3331 Lake Tahoe               ,,,
,,,,,,4507 Guadalajara Dr           ,,,
,,,,,,3807 Eldridge Ave             ,,,
,,,,,,3362 Butterleigh Dr           ,,,
,,,,,,5030 GUINEVERE DR             ,,,
,,,,,,2609 W Woodlawn Ave           ,,,
,,,,,,1602 E Houston St             ,,,
,,,,,,218 Myrick Blvd               ,,,
,,,,,,116 Hackley                   ,,,
,,,,,,430 Kathy Dr                  ,,,
,,,,,,12 Bryanston Ct               ,,,
,,,,,,2110 Martin Luther King Dr    ,,,
,,,,,,17007 Turkey Pt               ,,,
,,,,,,334 Joe Blanks St             ,,,
,,,,,,339 Maplewood Ln              ,,,
,,,,,,3514 Oakheath                 ,,,
,,,,,,8651 Waldon Hts               ,,,
,,,,,,208 Upson                     ,,,
,,,,,,1417 Burleson St              ,,,
,,,,,,22630 EAST RANGE              ,,,
,,,,,,510 CAROL CREST               ,,,
,,,,,,502 Mesa Loop                 ,,,
,,,,,,3235 Tree Grove               ,,,
,,,,,,7114 Bart Holw                ,,,
,,,,,,7114 Bart Holw                ,,,
,,,,,,2804 Tampico St               ,,,
,,,,,,229 Saddlebrook Dr            ,,,
,,,,,,1100-1199 Delaware            ,,,
,,,,,,7619 Briston Park Dr          ,,,
,,,,,,9326 Five Forks               ,,,
,,,,,,9231 Silver Hill              ,,,
,,,,,,9231 Silver Hill              ,,,
,,,,,,9540 Dover Rdg                ,,,
,,,,,,512 Carlisle Ave              ,,,
,,,,,,206 Sunglo Dr                 ,,,
,,,,,,Natalen Ave / Milton St       ,,,
,,,,,,1114 Linden Ave               ,,,
,,,,,,206 Nelson Ave                ,,,
,,,,,,5903 Lake Champlain           ,,,
,,,,,,8334 Swift Eagle              ,,,
,,,,,,5107 Sherry                   ,,,
,,,,,,207 Holly St                  ,,,
,,,,,,106 Sublett Dr                ,,,
,,,,,,6746 MIDDLE OAKS DR           ,,,
,,,,,,6023 Ridge Pond               ,,,
,,,,,,24003 CANYON ROW              ,,,
,,,,,,21243 Rio Sabinal             ,,,
,,,,,,424 S Olive St                ,,,
,,,,,,4011 W Salinas                ,,,
,,,,,,2909 Guadalupe St             ,,,
,,,,,,5991 CATALINA SUNRISE DR      ,,,
,,,,,,22 DRAKE AVE                  ,,,
,,,,,,754 Fulton St                 ,,,
,,,,,,123 Carousel                  ,,,
,,,,,,1955 Bandera Rd               ,,,
,,,,,,16602 Boulder Rdg             ,,,
,,,,,,833 Rittiman Rd               ,,,
,,,,,,5107 Sagail Place             ,,,
,,,,,,4911 Orchid Star              ,,,
,,,,,,6210 Berrywest Dr             ,,,
,,,,,,542 Menefee Blvd              ,,,
,,,,,,9615 Dugas Dr                 ,,,
,,,,,,8703 Braun Path               ,,,
,,,,,,4802 Heather Pass             ,,,
,,,,,,7311 Monets Garden            ,,,
,,,,,,305 San Juan                  ,,,
,,,,,,7705 Sandia Blf               ,,,
,,,,,,103 Mc Dougal Ave             ,,,
,,,,,,4 Tournament Green            ,,,
,,,,,,4603 Lorelei                  ,,,
,,,,,,622 Butler Pt                 ,,,
,,,,,,121 Deerwood Dr               ,,,
,,,,,,220 La Clede Ave              ,,,
,,,,,,218 Bocawood                  ,,,
,,,,,,615 Escalon Ave               ,,,
,,,,,,1402 DRURY LN                 ,,,
,,,,,,3631 Weir Ave                 ,,,
,,,,,,319 Surrey Ave                ,,,
,,,,,,228 Beatrice Ave              ,,,
,,,,,,2409 W Mulberry Ave           ,,,
,,,,,,8634 White Star               ,,,
,,,,,,4239 MISTY SPRINGS DR         ,,,
,,,,,,1935 W ASHBY PLACE            ,,,
,,,,,,4022 Sunrise Creek Dr         ,,,
,,,,,,1755 W Kings Hwy              ,,,
,,,,,,1220 RICE RD                  ,,,
,,,,,,1007 Nw 24th St               ,,,
,,,,,,606 W MITCHELL ST             ,,,
,,,,,,6847 FM 1346                  ,,,
,,,,,,455 Laurelwood Dr             ,,,
,,,,,,6131 Pleasant Lake            ,,,
,,,,,,1102 LA MANDA BLVD            ,,,
,,,,,,5830 Moores Crk               ,,,
,,,,,,130 King Roger                ,,,
,,,,,,830 Keats Ave                 ,,,
,,,,,,2929 CHRISTIAN DR             ,,,
,,,,,,9007 Hidden Cv                ,,,
,,,,,,131 Henry St                  ,,,
,,,,,,1308 W Mariposa               ,,,
,,,,,,5626 Spring Moon              ,,,
,,,,,,2714 LAKELOMA                 ,,,
,,,,,,402 N San Horacio             ,,,
,,,,,,130 Idell                     ,,,
,,,,,,1715 Saltillo St              ,,,
,,,,,,342 Goodhue Ave               ,,,
,,,,,,2906 Bee Cave                 ,,,
,,,,,,665 N GENERAL MCMULLEN        ,,,
,,,,,,945 GRANT AVE                 ,,,
,,,,,,2230 Orange Blossom           ,,,
,,,,,,5214 Stormy Skies             ,,,
,,,,,,3006 MARTIN LUTHER KING DR    ,,,
,,,,,,1803 Candlelight              ,,,
,,,,,,2201 N Flores St              ,,,
,,,,,,4123 Family Tree              ,,,
,,,,,,14006 Little Leaf             ,,,
,,,,,,5363 Lock Hill Rd             ,,,
,,,,,,416 PLETZ DR                  ,,,
,,,,,,350 Simon St                  ,,,
,,,,,,5302 Rambowllette Dr          ,,,
,,,,,,2010 Arroya Vista Dr          ,,,
,,,,,,819 Sw 38th St                ,,,
,,,,,,715 Upland Dr                 ,,,
,,,,,,8915 Ridge Holw               ,,,
,,,,,,355 Mink Dr                   ,,,
,,,,,,363 Gayle Ave                 ,,,
,,,,,,1903 Encino Blf               ,,,
,,,,,,1901 S San Marcos             ,,,
,,,,,,3827 Pipers Meadow            ,,,
,,,,,,503 MONTICELLO CT             ,,,
,,,,,,511 S CALAVERAS               ,,,
,,,,,,16414 Spruce Leaf             ,,,
,,,,,,2101 Arbor St                 ,,,
,,,,,,502 W DREXEL AVE              ,,,
,,,,,,734 Sw 38th St                ,,,
,,,,,,510 Hillwood                  ,,,
,,,,,,4620 Trailwood Dr             ,,,
,,,,,,2353 Texas Ave                ,,,
,,,,,,11546 Wood Harbor             ,,,
,,,,,,2426 Ravina Dr                ,,,
,,,,,,7242 Burns Crossing           ,,,
,,,,,,630 Morningview St            ,,,
,,,,,,Pvt St At 12626 Blanco Rd     ,,,
,,,,,,2854 Lakehills                ,,,
,,,,,,330 Cantrell Dr               ,,,
,,,,,,5043 Crusade Dr               ,,,
,,,,,,5139 Baum Rd                  ,,,
,,,,,,9245 Echo Port Dr             ,,,
,,,,,,1739 Santa Rita St            ,,,
,,,,,,139 W Formosa Blvd            ,,,
,,,,,,243 Sussex Ave                ,,,
,,,,,,1308 Flanders Ave             ,,,
,,,,,,1317 FLANDERS AVE             ,,,
,,,,,,3202 Falcon Grove             ,,,
,,,,,,255 Harwood Dr                ,,,
,,,,,,200 Monticello Ct             ,,,
,,,,,,503 Lincolnshire Dr           ,,,
,,,,,,12002 Estable                 ,,,
,,,,,,6550 ELMER BLVD               ,,,
,,,,,,5734 Chestnut Crossing        ,,,
,,,,,,13835 Shavano Downs           ,,,
,,,,,,122 Belden Ave                ,,,
,,,,,,19631 Encino Way              ,,,
,,,,,,4409 Canary Bend              ,,,
,,,,,,6883 Maple Spg                ,,,
,,,,,,5315 Howard St                ,,,
,,,,,,810 Carlisle Ave              ,,,
,,,,,,23710 Jenkins Hill            ,,,
,,,,,,5943 Misty Lake               ,,,
,,,,,,1309 KEATS AVE                ,,,
,,,,,,13726 PLAYER DR               ,,,
,,,,,,323 Hillwood                  ,,,
,,,,,,2530 Fallbrook                ,,,
,,,,,,222 Granada Dr                ,,,
,,,,,,700-751 Hazel St              ,,,
,,,,,,2510 Steves Ave               ,,,
,,,,,,15011 Flaming Crk             ,,,
,,,,,,3216 Perez St                 ,,,
,,,,,,3911 Beech                    ,,,
,,,,,,410 Roslyn Ave                ,,,
,,,,,,222 SHARMAIN PLACE            ,,,
,,,,,,Center St / N Swiss           ,,,
,,,,,,Piedmont Ave / Dakota St      ,,,
,,,,,,2907 Perez St                 ,,,
,,,,,,9507 Gladeview                ,,,
,,,,,,7531 Bluestone                ,,,
,,,,,,5938 Whispering Lake          ,,,
,,,,,,11606 Whisper Dew Dr          ,,,
,,,,,,726 W Vestal Place            ,,,
,,,,,,3000-3099 TAMPICO ST          ,,,
,,,,,,502 Briggs Ave                ,,,
,,,,,,715 GABRIEL                   ,,,
,,,,,,1247 Stonewall Ave            ,,,
,,,,,,21519 La Pena Dr              ,,,
,,,,,,Terron Rd / Roland Ave,,,
,,,,,,Terron Rd / Roland Ave        ,,,
,,,,,,1538 Center St                ,,,
,,,,,,4909 Woodstone                ,,,
,,,,,,803 LARRY ST                  ,,,
,,,,,,7011 Hallie Spirit            ,,,
,,,,,,Ripford St / Mauerman St      ,,,
,,,,,,11218 Four Iron Way           ,,,
,,,,,,6903 Westward Dr              ,,,
,,,,,,3619 COLTER DR                ,,,
,,,,,,5116 Timber Terrace           ,,,
,,,,,,222 Granada Dr                ,,,
,,,,,,1635 E Crockett St            ,,,
,,,,,,1058 W Malone                 ,,,
,,,,,,5710 MUSTER                   ,,,
,,,,,,1335 E Crockett St            ,,,
,,,,,,123 FAIRVIEW AVE              ,,,
,,,,,,315 Forrest Ave               ,,,
,,,,,,8219 Watchtower               ,,,
,,,,,,417 Mercedes St               ,,,
,,,,,,832 Nevada                    ,,,
,,,,,,14731 Hillside Rdg            ,,,
,,,,,,13118 HUNTERS SPG             ,,,
,,,,,,14434 Devout                  ,,,
,,,,,,4743 Casa Bello               ,,,
,,,,,,914 E Dullnig Ct              ,,,
,,,,,,1920 W LAUREL ST              ,,,
,,,,,,279 Covina Ave                ,,,
,,,,,,5423 Gavilan Dr               ,,,
,,,,,,726 John Page Dr              ,,,
,,,,,,4818 Bohill                   ,,,
,,,,,,104 Ross Ave                  ,,,
,,,,,,2810 Aspen Meadow             ,,,
,,,,,,527 Chicago Blvd              ,,,
,,,,,,319 Bailey Ave                ,,,
,,,,,,231 Linda Lou Dr              ,,,
,,,,,,6062 Glacier Sun              ,,,
,,,,,,722 Larry St                  ,,,
,,,,,,1312 GIBBS ST                 ,,,
,,,,,,1139 W FRENCH PLACE           ,,,
,,,,,,210 Coronet Ln                ,,,
,,,,,,1042 Division                 ,,,
,,,,,,544 E Edmonds Ave             ,,,
,,,,,,639 Cantrell Dr               ,,,
,,,,,,N Smith St / W Martin St,,,
,,,,,,1407 Center St                ,,,
,,,,,,1119 Mcilvaine St             ,,,
,,,,,,1138 PASO HONDO ST            ,,,
,,,,,,4915 OAKWAY                   ,,,
,,,,,,5999 Catalina Sunrise Dr      ,,,
,,,,,,4930 Royal Stable             ,,,
,,,,,,305 E Lambert                 ,,,
,,,,,,1413 Crystal                  ,,,
,,,,,,9418 Points Edge              ,,,
,,,,,,1626 S ELMENDORF              ,,,
,,,,,,8711 Eagle Peak               ,,,
,,,,,,16626 DOLENTE RD              ,,,
,,,,,,5422 Merkens Dr               ,,,
,,,,,,2031 W Mayfield Blvd          ,,,
,,,,,,Cincinnati Ave / Emory        ,,,
,,,,,,117 Forcke                    ,,,
,,,,,,3900-3999 Goliad Rd           ,,,
,,,,,,1000 Shadwell                 ,,,
,,,,,,239 Shrine Ave                ,,,
,,,,,,623 J St                      ,,,
,,,,,,850 CAVALIER AVE              ,,,
,,,,,,3511 El Paso St               ,,,
,,,,,,218 Dryden                    ,,,
,,,,,,11715 Pepper Tree             ,,,
,,,,,,331 Holmgreen Rd              ,,,
,,,,,,8510 Barranca Ave             ,,,
,,,,,,6718 Dragon Fire              ,,,
,,,,,,1735 Peck Ave                 ,,,
,,,,,,5455 Copperhead Ln            ,,,
,,,,,,2431 W Summit Ave             ,,,
,,,,,,419 Yukon Blvd                ,,,
,,,,,,2922 BUENA VISTA ST,,,
,,,,,,323 Alexander Hamilton        ,,,
,,,,,,520 Surrey Ave                ,,,
,,,,,,1815 Estonia Cv               ,,,
,,,,,,1607 W MARTIN ST              ,,,
,,,,,,3307 Rock Creek Run           ,,,
,,,,,,4814 Zulema                   ,,,
,,,,,,519 Storeywood                ,,,
,,,,,,4234 W Cesar Chavez Blvd      ,,,
,,,,,,6338 Echo Canyon              ,,,
,,,,,,634 Keats Ave                 ,,,
,,,,,,4430 MERCURY                  ,,,
,,,,,,226 Wellesley Blvd            ,,,
,,,,,,13038 Huntsman Rd             ,,,
,,,,,,606 Larkwood Dr               ,,,
,,,,,,4226 Parkwood                 ,,,
,,,,,,9131 Ozalid Ln                ,,,
,,,,,,7918 Laurel Bend              ,,,
,,,,,,5751 Indian Sky               ,,,
,,,,,,205 Loretta                   ,,,
,,,,,,1547 W GERALD AVE             ,,,
,,,,,,566 Cicero Ave                ,,,
,,,,,,14435 BRIARLEDGE              ,,,
,,,,,,9403 Valley Bend              ,,,
,,,,,,13807 BRIARMEADOW             ,,,
,,,,,,9474 Lands Pt                 ,,,
,,,,,,842 SW 39TH ST                ,,,
,,,,,,1744 W SUMMIT AVE             ,,,
,,,,,,107 LAKESHORE DR              ,,,
,,,,,,617 HUNSTOCK AVE              ,,,
,,,,,,1722 Monterey St              ,,,
,,,,,,5723 Alnwick Dr               ,,,
,,,,,,727 S SAN BERNARDO            ,,,
,,,,,,805 LARRY ST                  ,,,
,,,,,,7815 Shady Hollow Ln          ,,,
,,,,,,2000 E Drexel Ave             ,,,
,,,,,,1959 Nolan St                 ,,,
,,,,,,429 Culebra Rd                ,,,
,,,,,,FREDONIA / S PINE ST          ,,,
,,,,,,11726 Mission Trace           ,,,
,,,,,,5535 SHERRY                   ,,,
,,,,,,5443 Elk Hunter Trl           ,,,
,,,,,,1731 W Mayfield Blvd          ,,,
,,,,,,1251 Chalmers Ave             ,,,
,,,,,,12714 Huntsman View Dr        ,,,
,,,,,,8014 Orchard Bend             ,,,
,,,,,,6410 MARCUM DR                ,,,
,,,,,,W Theo Ave / Nogalitos St     ,,,
,,,,,,5110 Sierra St                ,,,
,,,,,,10343 Tippecanoe              ,,,
,,,,,,3610 Hunters Sound            ,,,
,,,,,,2603 Viejita                  ,,,
,,,,,,138 MERIDA ST                 ,,,
,,,,,,430 BLUEBONNET ST             ,,,
,,,,,,14130 Butler Crk              ,,,
,,,,,,8623 Old Corpus Christi Rd    ,,,
,,,,,,210 COVINA AVE                ,,,
,,,,,,408 W Huisache Ave            ,,,
,,,,,,811 FAWNWAY                   ,,,
,,,,,,5831 GARDENWOOD DR            ,,,
,,,,,,283 E Harding Blvd            ,,,
,,,,,,4753-4899 W Military Dr       ,,,
,,,,,,4223 Wild Oak Dr              ,,,
,,,,,,414 S Sabinas                 ,,,
,,,,,,135 W MALLY BLVD              ,,,
,,,,,,1023 Stonewall Ave            ,,,
,,,,,,6923 Country Rose             ,,,
,,,,,,8400-8499 Old Tezel Rd        ,,,
,,,,,,411 E Edmonds Ave             ,,,
,,,,,,1846 W Mulberry Ave           ,,,
,,,,,,1100-1199 W Russell Place     ,,,
,,,,,,1511 EDWARDS ST               ,,,
,,,,,,4102 Camphor Way              ,,,
,,,,,,700-899 Dunwoodie             ,,,
,,,,,,21711 Rio Colorado            ,,,
,,,,,,1110 W Kings Hwy              ,,,
,,,,,,6758 Tezel Oaks               ,,,
,,,,,,125 Hazel St                  ,,,
,,,,,,13231 LARKBROOK DR            ,,,
,,,,,,135 E VESTAL PLACE            ,,,
,,,,,,118 Sinclair Rd               ,,,
,,,,,,702 W Hollywood Ave           ,,,
,,,,,,531 Ferris Ave                ,,,
,,,,,,1323 Sw 35th St               ,,,
,,,,,,726 Canton St                 ,,,
,,,,,,1635 E Crockett St            ,,,
,,,,,,15319 Fallen Grove            ,,,
,,,,,,1254 Ceralvo St               ,,,
,,,,,,5 REMINGTON RUN               ,,,
,,,,,,567 LIVELY                    ,,,
,,,,,,3507 Bunyan                   ,,,
,,,,,,727 Robinhood Place           ,,,
,,,,,,622 Cumberland Blvd           ,,,
,,,,,,1903 Thompson Place           ,,,
,,,,,,1630 W Rosewood Ave           ,,,
,,,,,,182 Marlena                   ,,,
,,,,,,2918 W Martin St              ,,,
,,,,,,19602 Encino Knoll            ,,,
,,,,,,6622 Arancione Ave            ,,,
,,,,,,331 Boswell St                ,,,
,,,,,,3027 Golden Ave               ,,,
,,,,,,546 Mary St                   ,,,
,,,,,,919 Patricia Dr               ,,,
,,,,,,1114 W Myrtle St              ,,,
,,,,,,2318 ENCINO PT                ,,,
,,,,,,5767 Randolph Blvd            ,,,
,,,,,,19910 Encino Grove            ,,,
,,,,,,4273 SUNRISE CREEK DR         ,,,
,,,,,,100-299 Beatrice Ave          ,,,
,,,,,,703 Brighton Ave              ,,,
,,,,,,700-899 Taft Blvd             ,,,
,,,,,,1717 Burnett St               ,,,
,,,,,,8223 Shooting Quail           ,,,
,,,,,,12855 Tarrytown               ,,,
,,,,,,4908 Lambeth Dr               ,,,
,,,,,,118 F St                      ,,,
,,,,,,1430 Hermine Blvd             ,,,
,,,,,,5355 Calistoga                ,,,
,,,,,,1700 Jackson-keller Rd        ,,,
,,,,,,723 Carolina St               ,,,
,,,,,,59 Donore Sq                  ,,,
,,,,,,4100-4199 Running Crk         ,,,
,,,,,,4206 Quail Mountain           ,,,
,,,,,,7202 Green Oak                ,,,
,,,,,,1329 Dahlgreen Ave            ,,,
,,,,,,301 Sims Ave                  ,,,
,,,,,,8896 MEADOW RANGE             ,,,
,,,,,,9002 Laguna Rio               ,,,
,,,,,,13843 Chevy Oak               ,,,
,,,,,,2342 Dakota St                ,,,
,,,,,,4262 Valleyfield Dr           ,,,
,,,,,,241 Pendleton                 ,,,
,,,,,,514 E Crane Ave               ,,,
,,,,,,6415 Lakefront                ,,,
,,,,,,1242 Flanders Ave             ,,,
,,,,,,10602 Aster Canyon            ,,,
,,,,,,5829 Sun Dance Ln             ,,,
,,,,,,2204 WAVERLY AVE              ,,,
